School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
McNeese State,31,9,147,-14.41,-6.15,2149,2303,1245,760,1676,168,548,0.307,461,647,0.713,310,1054,429,0.453,97,450,467,,,,,,,
Stanford,31,15,186,6.03,5.13,2255,2227,1245,808,1783,207,653,0.317,432,643,0.672,322,1147,392,0.453,147,467,586,,,,,,,
Grand Canyon,34,20,207,3.85,-1.49,2560,2353,1370,907,2006,257,777,0.331,487,666,0.731,350,1238,478,0.452,75,411,598,,,,,,,
Columbia,28,10,218,-5.18,-2.14,2059,2052,1160,778,1720,237,655,0.362,266,377,0.706,255,985,443,0.452,78,366,539,,,,,,,
Air Force,32,14,154,-4.28,0.24,2179,2294,1300,802,1776,234,711,0.329,341,503,0.678,253,1077,434,0.452,57,423,543,,,,,,,
Iona NCAA,33,17,223,-4.78,-5.5,2532,2508,1320,857,1897,297,845,0.351,521,699,0.745,283,1152,432,0.452,90,406,564,,,,,,,
Dartmouth,30,11,158,-5.75,-3,2160,2116,1210,791,1750,264,721,0.366,314,436,0.72,246,1020,426,0.452,100,361,468,,,,,,,
Grambling,34,17,193,-9.73,-9.34,2426,2336,1370,834,1846,223,553,0.403,535,781,0.685,307,1287,420,0.452,147,536,699,,,,,,,
Alabama-Birmingham,35,20,218,0.36,-1.52,2470,2370,1410,906,2003,234,694,0.337,424,630,0.673,367,1279,401,0.452,82,399,578,,,,,,,
Missouri State,32,16,221,-1.2,-1.03,2206,2157,1285,774,1714,224,649,0.345,434,627,0.692,270,1000,354,0.452,127,385,540,,,,,,,
Purdue NCAA,36,26,220,21.4,11.99,2760,2421,1460,967,2145,365,977,0.374,461,641,0.719,421,1341,518,0.451,143,381,625,,,,,,,
Oregon NCAA,38,25,290,13.95,6.13,2661,2364,1530,958,2126,295,840,0.351,450,624,0.721,361,1307,501,0.451,162,442,665,,,,,,,
Hawaii,31,18,156,-1.3,-3.61,2241,2131,1250,788,1746,266,751,0.354,399,576,0.693,278,1054,478,0.451,66,368,556,,,,,,,
Washington NCAA,36,27,323,12.01,7.01,2511,2331,1445,883,1956,273,780,0.35,472,679,0.695,334,1129,419,0.451,206,479,653,,,,,,,
Mercer,31,11,207,-2.86,-0.24,2248,2246,1245,787,1746,228,663,0.344,446,648,0.688,307,1057,393,0.451,80,407,557,,,,,,,
Auburn NCAA,40,30,369,20.84,10.92,3188,2750,1615,1097,2439,454,1204,0.377,540,760,0.711,457,1369,572,0.45,190,466,731,,,,,,,
Bucknell,33,21,173,0.59,-2.93,2534,2418,1325,867,1928,311,885,0.351,489,653,0.749,286,1154,519,0.45,116,409,627,,,,,,,
Davidson,34,24,175,6.38,1.96,2409,2229,1365,852,1893,312,882,0.354,393,525,0.749,264,1185,499,0.45,82,378,539,,,,,,,
