School,G,W,W-L%,PF,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,SRS,TRB,AST,STL,BLK,TOV,ORB,,,,,,,
Texas Christian,37,23,0.622,586,9.6,2730,2574,1500,990,2168,0.457,281,813,0.346,469,688,0.682,13.81,1347,598,255,162,499,395,,,,,,,
St. John's (NY) NCAA,34,21,0.618,650,5.5,2623,2542,1375,944,2100,0.45,289,809,0.357,446,620,0.719,7.88,1120,472,302,111,357,264,,,,,,,
San Diego State,34,21,0.618,638,2.47,2437,2291,1360,845,1940,0.436,261,721,0.362,486,679,0.716,5.29,1228,487,197,113,424,346,,,,,,,
Maryland-Baltimore County,34,21,0.618,578,-5.85,2296,2177,1400,820,1893,0.433,261,807,0.323,395,573,0.689,-5.85,1145,453,268,83,428,296,,,,,,,
Harvard,31,19,0.613,554,0.66,2222,2174,1265,787,1711,0.46,260,722,0.36,388,538,0.721,1.86,1119,369,174,123,491,288,,,,,,,
Pennsylvania,31,19,0.613,500,-0.76,2250,2117,1265,821,1810,0.454,282,803,0.351,326,511,0.638,2.04,1101,465,210,76,395,270,,,,,,,
Norfolk State,36,22,0.611,763,-8.74,2652,2503,1460,900,2079,0.433,282,770,0.366,570,803,0.71,-8.04,1318,457,219,154,523,366,,,,,,,
Memphis,36,22,0.611,739,5.09,2882,2680,1450,1013,2238,0.453,260,807,0.322,596,835,0.714,10.7,1358,553,288,144,538,436,,,,,,,
Minnesota NCAA,36,22,0.611,578,11.27,2543,2498,1445,887,2039,0.435,191,603,0.317,578,848,0.682,12.52,1314,523,175,140,418,402,,,,,,,
Lamar,33,20,0.606,622,-7.22,2597,2322,1340,902,1976,0.456,228,664,0.343,565,823,0.687,-5.94,1282,481,283,97,473,446,,,,,,,
Mississippi NCAA,33,20,0.606,603,8.13,2485,2347,1325,876,1906,0.46,272,760,0.358,461,589,0.783,12.32,1128,475,235,118,416,322,,,,,,,
Louisiana Tech,33,20,0.606,535,-2.31,2386,2235,1335,840,1928,0.436,253,756,0.335,453,690,0.657,0.95,1204,440,190,115,386,368,,,,,,,
Campbell,33,20,0.606,522,-4.39,2495,2328,1325,867,1906,0.455,313,912,0.343,448,590,0.759,-3.62,1050,482,218,104,337,266,,,,,,,
Southern Mississippi,33,20,0.606,507,-0.83,2392,2160,1330,899,1929,0.466,275,712,0.386,321,489,0.656,2.58,1178,553,253,110,345,274,,,,,,,
Fairleigh Dickinson NCAA,35,21,0.6,578,-7.24,2620,2515,1420,921,1939,0.475,269,672,0.4,509,702,0.725,-6.09,1155,486,261,132,477,323,,,,,,,
