School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
Murray State NCAA,33,28,1247,8.96,-3.11,2727,2255,1320,988,2007,258,731,0.353,493,673,0.733,351,0.492,591,249,149,401,527,,,,,
Iowa NCAA,35,23,1246,14.27,9.84,2740,2585,1415,914,2006,285,782,0.364,627,849,0.739,357,0.456,542,211,112,427,565,,,,,
Saint Francis (PA),33,18,1246,-8.74,-6.16,2517,2510,1320,885,2035,254,724,0.351,493,698,0.706,430,0.435,413,221,94,402,598,,,,,
North Texas,33,21,1244,-0.25,-3.48,2302,2077,1325,831,1910,284,838,0.339,356,532,0.669,368,0.435,428,210,88,443,589,,,,,
Ball State,33,16,1243,3.39,1.21,2478,2362,1340,889,1892,202,621,0.325,498,709,0.702,308,0.47,426,217,118,480,579,,,,,
Providence,34,18,1241,8.29,6.71,2428,2374,1385,835,1973,225,690,0.326,533,771,0.691,399,0.423,491,253,136,445,600,,,,,
Colgate NCAA,35,24,1240,1.23,-3.83,2648,2458,1415,955,1995,320,815,0.393,418,563,0.742,322,0.479,541,213,121,456,547,,,,,
San Diego,36,21,1238,6.12,3.61,2591,2455,1460,914,2002,284,808,0.351,479,641,0.747,290,0.457,516,204,112,466,667,,,,,
Grand Canyon,34,20,1238,3.85,-1.49,2560,2353,1370,907,2006,257,777,0.331,487,666,0.731,350,0.452,478,207,75,411,598,,,,,
Texas-Arlington,33,17,1235,-0.5,0.84,2284,2303,1345,781,1908,234,773,0.303,488,659,0.741,372,0.409,421,211,97,467,630,,,,,
IUPUI,33,16,1233,-2.72,-3.04,2507,2429,1320,891,1969,234,695,0.337,491,699,0.702,403,0.453,471,228,103,462,578,,,,,
Wofford NCAA,35,30,1232,13.92,0.8,2879,2295,1410,1044,2132,385,929,0.414,406,577,0.704,365,0.49,528,233,105,377,589,,,,,
Winthrop,30,18,1232,-2.89,-3.74,2499,2358,1210,855,1878,372,997,0.373,417,565,0.738,330,0.455,460,134,83,456,535,,,,,
Sacred Heart,32,15,1231,-7.88,-8.11,2558,2509,1285,885,1926,243,681,0.357,545,722,0.755,354,0.46,471,170,133,465,572,,,,,
Iowa State NCAA,35,23,1230,18.07,9.3,2692,2385,1400,974,2047,294,811,0.363,450,615,0.732,327,0.476,527,247,160,379,517,,,,,
Wright State,35,21,1229,3.29,-0.89,2561,2365,1405,885,2028,281,818,0.344,510,692,0.737,382,0.436,484,214,72,402,545,,,,,
San Diego State,34,21,1228,5.29,2.47,2437,2291,1360,845,1940,261,721,0.362,486,679,0.716,346,0.436,487,197,113,424,638,,,,,
Middle Tennessee,32,11,1228,-6.09,1.44,2141,2313,1280,778,1858,212,650,0.326,373,551,0.677,382,0.419,352,190,85,512,583,,,,,
Samford,33,17,1225,0.69,-2.03,2583,2487,1355,921,1951,254,687,0.37,487,666,0.731,316,0.472,461,238,127,463,560,,,,,
Cal State Fullerton,34,16,1224,-3.29,-1.14,2437,2414,1385,868,1911,187,589,0.317,514,726,0.708,277,0.454,407,200,118,450,639,,,,,
Monmouth,35,14,1224,-10.66,-4.83,2286,2490,1420,794,1915,168,565,0.297,530,773,0.686,360,0.415,379,237,101,502,698,,,,,
Seattle,33,18,1221,-1.47,-3.85,2420,2283,1330,852,1945,238,642,0.371,478,668,0.716,336,0.438,386,141,118,403,657,,,,,
Rice,32,13,1221,-6.56,-2.06,2367,2481,1305,795,1867,277,797,0.348,500,729,0.686,316,0.426,425,171,104,438,568,,,,,
