School,G,W,FG%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,,,,
Utah,31,17,0.464,6.13,5.1,2343,2311,1245,805,1735,298,806,0.37,435,616,0.706,317,1096,440,144,80,409,548,,,,,
North Dakota,30,12,0.464,-8.78,-3.55,2220,2196,1200,822,1771,241,647,0.372,335,482,0.695,233,1009,398,171,87,380,485,,,,,
Oregon State,31,18,0.463,7.84,4.29,2275,2165,1250,800,1728,203,633,0.321,472,636,0.742,310,1091,465,185,164,384,536,,,,,
Buffalo NCAA,36,32,0.462,15.56,2.62,3037,2550,1445,1083,2344,344,1022,0.337,527,767,0.687,452,1470,599,263,140,433,659,,,,,
Nevada NCAA,34,29,0.462,16,2.68,2723,2270,1360,924,1999,297,855,0.347,578,816,0.708,325,1274,498,211,134,352,584,,,,,
Jacksonville State,33,24,0.462,1.59,-5.47,2574,2283,1345,953,2063,200,634,0.315,468,630,0.743,400,1310,451,245,138,440,553,,,,,
Northern Colorado,32,21,0.462,-3.92,-6.76,2450,2229,1295,849,1837,307,849,0.362,445,633,0.703,309,1128,422,176,101,398,538,,,,,
Holy Cross,33,16,0.462,-6.43,-4.01,2216,2296,1335,848,1834,237,670,0.354,283,424,0.667,220,916,513,241,127,350,482,,,,,
Radford,33,22,0.461,1.28,-1.95,2440,2247,1330,893,1938,285,751,0.379,369,515,0.717,335,1170,467,196,101,358,528,,,,,
New Mexico State NCAA,35,30,0.46,10.05,-2.38,2734,2259,1405,962,2092,326,977,0.334,484,714,0.678,445,1343,514,197,91,419,632,,,,,
Mississippi NCAA,33,20,0.46,12.32,8.13,2485,2347,1325,876,1906,272,760,0.358,461,589,0.783,322,1128,475,235,118,416,603,,,,,
Harvard,31,19,0.46,1.86,0.66,2222,2174,1265,787,1711,260,722,0.36,388,538,0.721,288,1119,369,174,123,491,554,,,,,
South Alabama,34,17,0.46,-4.46,-2.71,2478,2465,1375,867,1883,285,761,0.375,459,669,0.686,288,1094,471,201,141,456,649,,,,,
Southern California,33,16,0.46,8.23,4.96,2518,2410,1340,937,2039,281,735,0.382,363,563,0.645,324,1188,536,202,117,392,590,,,,,
Sacred Heart,32,15,0.46,-7.88,-8.11,2558,2509,1285,885,1926,243,681,0.357,545,722,0.755,354,1231,471,170,133,465,572,,,,,
Cal State Northridge,34,13,0.46,-6.54,-3.39,2601,2701,1375,968,2103,234,648,0.361,431,676,0.638,352,1214,512,225,154,410,641,,,,,
Drexel,32,13,0.46,-7.02,-2.93,2425,2475,1280,874,1900,237,669,0.354,440,584,0.753,312,1126,464,144,62,377,542,,,,,
Georgia State NCAA,34,24,0.459,2.44,0.65,2598,2491,1360,903,1968,330,859,0.384,462,694,0.666,273,1110,415,269,158,391,583,,,,,
North Carolina A&T,32,19,0.459,-11.24,-9.88,2241,2209,1290,825,1797,227,649,0.35,364,548,0.664,291,1059,452,215,108,417,514,,,,,
Delaware,33,17,0.459,-7.91,-4.82,2352,2380,1360,830,1808,282,746,0.378,410,564,0.727,254,1083,425,149,78,378,523,,,,,
Illinois-Chicago,32,16,0.459,-3.15,-1.99,2391,2385,1295,865,1883,303,856,0.354,358,525,0.682,271,1106,478,210,124,457,684,,,,,
Loyola (MD),32,11,0.459,-9.13,-4.6,2332,2477,1295,842,1836,210,616,0.341,438,617,0.71,292,997,448,278,73,444,573,,,,,
Vermont NCAA,34,27,0.458,4.88,-4.18,2508,2143,1370,864,1887,273,761,0.359,507,678,0.748,304,1194,399,188,136,377,568,,,,,
North Carolina State,36,24,0.458,14.94,6.22,2882,2568,1450,1061,2319,292,830,0.352,468,661,0.708,486,1390,539,257,138,449,691,,,,,
Green Bay,38,21,0.458,-2.24,-0.36,3090,3036,1535,1106,2413,303,879,0.345,575,818,0.703,376,1406,578,291,154,500,730,,,,,
UC-Irvine NCAA,37,31,0.457,5.7,-2.3,2675,2353,1500,987,2159,252,701,0.359,449,640,0.702,429,1471,479,210,153,441,673,,,,,
North Carolina-Greensboro,36,29,0.457,4.08,-0.9,2738,2443,1445,997,2184,280,818,0.342,464,666,0.697,399,1251,453,315,140,423,631,,,,,
Louisiana State NCAA,35,28,0.457,16.5,9.16,2815,2558,1435,988,2162,236,740,0.319,603,802,0.752,460,1355,452,308,148,452,634,,,,,
Texas Christian,37,23,0.457,13.81,9.6,2730,2574,1500,990,2168,281,813,0.346,469,688,0.682,395,1347,598,255,162,499,586,,,,,
San Diego,36,21,0.457,6.12,3.61,2591,2455,1460,914,2002,284,808,0.351,479,641,0.747,290,1238,516,204,112,466,667,,,,,
Indiana,35,19,0.457,13.82,10.1,2504,2374,1420,919,2009,211,676,0.312,455,695,0.655,341,1272,469,226,154,433,596,,,,,
UCLA,33,17,0.457,7.17,6.78,2580,2567,1335,919,2012,256,721,0.355,486,768,0.633,380,1361,472,194,136,467,563,,,,,
Iowa NCAA,35,23,0.456,14.27,9.84,2740,2585,1415,914,2006,285,782,0.364,627,849,0.739,357,1246,542,211,112,427,565,,,,,
Lamar,33,20,0.456,-5.94,-7.22,2597,2322,1340,902,1976,228,664,0.343,565,823,0.687,446,1282,481,283,97,473,622,,,,,
Montana State,32,15,0.456,-7.91,-5.81,2502,2552,1280,858,1882,306,818,0.374,480,651,0.737,292,1083,491,169,46,394,567,,,,,
Houston Baptist,30,12,0.456,-9.36,-5.53,2465,2484,1225,865,1896,200,588,0.34,535,793,0.675,409,1142,449,234,54,442,593,,,,,
Oral Roberts,32,11,0.456,-9.34,-1.91,2314,2483,1285,854,1874,266,734,0.362,340,492,0.691,335,1147,434,152,107,447,575,,,,,
Texas Southern,38,24,0.455,-5.55,-6.99,3102,3008,1550,1083,2379,276,852,0.324,660,988,0.668,467,1503,591,309,114,589,679,,,,,
Central Michigan,35,23,0.455,2.79,-0.34,2896,2690,1425,991,2177,305,822,0.371,609,908,0.671,419,1321,467,267,107,425,593,,,,,
Campbell,33,20,0.455,-3.62,-4.39,2495,2328,1325,867,1906,313,912,0.343,448,590,0.759,266,1050,482,218,104,337,522,,,,,
Hartford,33,18,0.455,-3.95,-4.89,2477,2407,1345,848,1862,322,846,0.381,459,619,0.742,278,1050,462,228,69,401,556,,,,,
North Carolina Central NCAA,34,18,0.455,-11.53,-11.24,2429,2266,1365,874,1922,221,693,0.319,460,641,0.718,399,1265,526,207,93,515,610,,,,,
Winthrop,30,18,0.455,-2.89,-3.74,2499,2358,1210,855,1878,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,535,,,,,
Jacksonville,32,12,0.455,-8.27,-4.74,2385,2402,1285,889,1953,213,645,0.33,394,582,0.677,330,1163,457,213,166,463,523,,,,,
Marquette NCAA,34,24,0.454,14.78,6.96,2629,2363,1375,893,1969,319,822,0.388,524,692,0.757,331,1292,456,168,145,467,635,,,,,
Colorado,36,23,0.454,9.68,3.6,2648,2429,1445,924,2036,230,711,0.323,570,757,0.753,363,1352,478,181,107,479,616,,,,,
Fresno State,32,23,0.454,8.99,0.67,2448,2162,1285,847,1866,342,897,0.381,412,572,0.72,300,1137,457,228,111,400,592,,,,,
UC-Santa Barbara,32,22,0.454,-1.62,-5.55,2350,2114,1290,825,1819,204,594,0.343,496,693,0.716,379,1204,431,159,106,355,558,,,,,
Loyola Marymount,34,22,0.454,2.93,0.9,2278,2125,1360,817,1800,163,510,0.32,481,645,0.746,314,1098,460,250,102,425,602,,,,,
Louisiana-Monroe,35,19,0.454,0.81,-1.96,2773,2637,1425,922,2029,353,891,0.396,576,737,0.782,317,1176,498,206,78,398,545,,,,,
North Dakota State NCAA,35,19,0.454,-4.01,-2.07,2556,2541,1410,874,1926,332,910,0.365,476,613,0.777,229,1105,402,160,87,368,523,,,,,
Pennsylvania,31,19,0.454,2.04,-0.76,2250,2117,1265,821,1810,282,803,0.351,326,511,0.638,270,1101,465,210,76,395,500,,,,,
Cal State Fullerton,34,16,0.454,-3.29,-1.14,2437,2414,1385,868,1911,187,589,0.317,514,726,0.708,277,1224,407,200,118,450,639,,,,,
Appalachian State,32,11,0.454,-3.73,0.1,2557,2539,1290,880,1938,292,814,0.359,505,706,0.715,310,1127,406,171,90,418,585,,,,,
Western Carolina,32,7,0.454,-9.28,0.34,2304,2563,1295,792,1744,296,800,0.37,424,628,0.675,303,1135,389,135,53,577,671,,,,,
Toledo,33,25,0.453,8.21,0.71,2537,2256,1330,901,1990,325,859,0.378,410,531,0.772,327,1281,538,170,152,402,517,,,,,
Memphis,36,22,0.453,10.7,5.09,2882,2680,1450,1013,2238,260,807,0.322,596,835,0.714,436,1358,553,288,144,538,739,,,,,
Coastal Carolina,34,17,0.453,-0.5,-1.94,2641,2520,1370,899,1986,284,766,0.371,559,778,0.719,376,1256,451,214,78,472,691,,,,,
IUPUI,33,16,0.453,-2.72,-3.04,2507,2429,1320,891,1969,234,695,0.337,491,699,0.702,403,1233,471,228,103,462,578,,,,,
Stanford,31,15,0.453,6.03,5.13,2255,2227,1245,808,1783,207,653,0.317,432,643,0.672,322,1147,392,186,147,467,586,,,,,
Florida Gulf Coast,32,14,0.453,-5.11,-1.48,2280,2360,1280,809,1787,269,724,0.372,393,588,0.668,272,1064,449,219,133,479,514,,,,,
McNeese State,31,9,0.453,-14.41,-6.15,2149,2303,1245,760,1676,168,548,0.307,461,647,0.713,310,1054,429,147,97,450,467,,,,,
Alabama-Birmingham,35,20,0.452,0.36,-1.52,2470,2370,1410,906,2003,234,694,0.337,424,630,0.673,367,1279,401,218,82,399,578,,,,,
Grand Canyon,34,20,0.452,3.85,-1.49,2560,2353,1370,907,2006,257,777,0.331,487,666,0.731,350,1238,478,207,75,411,598,,,,,
Grambling,34,17,0.452,-9.73,-9.34,2426,2336,1370,834,1846,223,553,0.403,535,781,0.685,307,1287,420,193,147,536,699,,,,,
Iona NCAA,33,17,0.452,-4.78,-5.5,2532,2508,1320,857,1897,297,845,0.351,521,699,0.745,283,1152,432,223,90,406,564,,,,,
Missouri State,32,16,0.452,-1.2,-1.03,2206,2157,1285,774,1714,224,649,0.345,434,627,0.692,270,1000,354,221,127,385,540,,,,,
Air Force,32,14,0.452,-4.28,0.24,2179,2294,1300,802,1776,234,711,0.329,341,503,0.678,253,1077,434,154,57,423,543,,,,,
